device,repair_type,cost,turnaround,expiry
iPhone 14 Pro Max,Screen Replacement,199.99,Same Day,
iPhone 14 Pro,Screen Replacement,189.99,Same Day,
iPhone 14 Plus,Screen Replacement,179.99,Same Day,
iPhone 14,Screen Replacement,149.99,Same Day,
iPhone 13 Pro Max,Screen Replacement,179.99,Same Day,
iPhone 13 Pro,Screen Replacement,169.99,Same Day,
iPhone 13,Screen Replacement,129.99,Same Day,
iPhone 12 Pro Max,Screen Replacement,159.99,1-2 Days,
iPhone 12,Screen Replacement,119.99,1-2 Days,
iPhone 11,Screen Replacement,99.99,1-2 Days,
iPhone 14 Pro Max,Battery Replacement,89.99,2-3 Hours,
iPhone 14 Pro,Battery Replacement,89.99,2-3 Hours,
iPhone 14,Battery Replacement,79.99,2-3 Hours,
iPhone 13 Pro Max,Battery Replacement,79.99,2-3 Hours,
iPhone 13,Battery Replacement,69.99,2-3 Hours,
iPhone 12,Battery Replacement,59.99,2-3 Hours,
iPhone 11,Battery Replacement,49.99,2-3 Hours,
Samsung Galaxy S23 Ultra,Screen Replacement,249.99,2-3 Days,
Samsung Galaxy S23,Screen Replacement,199.99,2-3 Days,
Samsung Galaxy S22,Screen Replacement,179.99,2-3 Days,
Samsung Galaxy S21,Screen Replacement,159.99,2-3 Days,
Samsung Galaxy S23 Ultra,Battery Replacement,99.99,2-3 Days,
Samsung Galaxy S23,Battery Replacement,89.99,2-3 Days,
Samsung Galaxy S22,Battery Replacement,79.99,2-3 Days,
iPad Pro 12.9,Screen Replacement,349.99,3-5 Days,
iPad Pro 11,Screen Replacement,299.99,3-5 Days,
iPad Air,Screen Replacement,249.99,3-5 Days,
iPad Mini,Screen Replacement,199.99,3-5 Days,
iPad 9th Gen,Screen Replacement,149.99,3-5 Days,
iPad Pro 12.9,Battery Replacement,179.99,3-5 Days,
iPad Air,Battery Replacement,149.99,3-5 Days,
MacBook Pro 16,Screen Replacement,599.99,5-7 Days,
MacBook Pro 14,Screen Replacement,499.99,5-7 Days,
MacBook Air M2,Screen Replacement,449.99,5-7 Days,
MacBook Air M1,Screen Replacement,399.99,5-7 Days,
